,acousticness,instrumentalness,key,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,Emotion
56,0.123,0.0,1,0.755,0.696,0.0,1,0.106,-6.326,1,0.194,93.683,4,0.432,0
57,0.143,0.0,6,0.792,0.764,0.0,6,0.946,-5.368,1,0.407,96.398,4,0.703,0
58,0.0138,1.04e-06,1,0.706,0.775,1.04e-06,1,0.151,-5.218,1,0.0468,81.04,4,0.882,0
59,0.0746,0.0,11,0.723,0.808,0.0,11,0.196,-6.32,0,0.203,109.958,4,0.336,0
60,0.244,0.0,11,0.697,0.771,0.0,11,0.295,-6.295,0,0.0599,79.927,4,0.617,0
61,0.0514,0.0,6,0.713,0.756,0.0,6,0.111,-5.61,0,0.163,91.966,4,0.57,0
62,0.114,8.12e-05,1,0.98,0.66,8.12e-05,1,0.142,-10.264,1,0.274,116.573,4,0.742,0
63,0.0539,0.392,1,0.756,0.529,0.392,1,0.112,-7.659,0,0.0329,119.573,4,0.123,0
64,0.142,2.75e-05,8,0.384,0.787,2.75e-05,8,0.39,-5.861,0,0.335,84.85,4,0.544,0
65,0.0293,0.0,1,0.872,0.723,0.0,1,0.327,-5.968,1,0.247,93.279,4,0.843,0
66,0.0013,0.0,8,0.544,0.955,0.0,8,0.106,-3.272,1,0.406,149.726,4,0.378,0
67,0.276,0.0,6,0.694,0.733,0.0,6,0.0918,-4.816,0,0.336,152.103,4,0.763,0
68,0.39,0.0,7,0.548,0.724,0.0,7,0.469,-6.681,0,0.275,110.066,4,0.481,0
69,0.418,6.36e-06,8,0.76,0.633,6.36e-06,8,0.128,-4.342,1,0.226,91.114,4,0.492,0
70,0.726,4.2e-05,1,0.838,0.544,4.2e-05,1,0.141,-6.853,1,0.329,100.577,4,0.768,0
71,0.149,0.0,7,0.916,0.758,0.0,7,0.0851,-4.423,1,0.247,120.189,4,0.874,0
72,0.113,0.0,0,0.794,0.745,0.0,0,0.254,-6.355,0,0.351,81.263,4,0.741,0
73,0.57,0.0147,9,0.859,0.654,0.0147,9,0.498,-6.326,1,0.258,94.004,4,0.897,0
74,0.0401,0.0,10,0.789,0.65,0.0,10,0.249,-6.16,0,0.121,87.983,4,0.617,0
